River Street , Clerkenwell
Phillimore Gardens, Kensington
Christopher Street, Liverpool Street
St. Chad's Street, King's Cross
Sedding Street, Sloane Square
Broadcasting House, Marylebone
Charlbert Street, St. John's Wood
Lodge Road, St. John's Wood
New Globe Walk, Bankside
Park Street, Bankside
Brunswick Square, Bloomsbury
Malet Street, Bloomsbury
Scala Street, Fitzrovia
Belgrove Street , King's Cross
Great Russell Street, Bloomsbury
Cartwright Gardens , Bloomsbury
Hatton Wall, Holborn
Drury Lane, Covent Garden
Taviton Street, Bloomsbury
Drummond Street , Euston
Hampstead Road (Cartmel), Euston
Northington Street , Holborn
Red Lion Square, Holborn
British Museum, Bloomsbury
Doric Way , Somers Town
Ampton Street , Clerkenwell
Bouverie Street, Temple
Bolsover Street, Fitzrovia
Hereford Road, Bayswater
Windsor Terrace, Hoxton
Fanshaw Street, Hoxton
Leonard Circus , Shoreditch
Altab Ali Park, Whitechapel
Pancras Road, King's Cross
De Vere Gardens, Kensington
Abingdon Villas, Kensington
Shoreditch High Street, Shoreditch
Commercial Street, Shoreditch
Sun Street, Liverpool Street
Wenlock Road , Hoxton
Crawford Street, Marylebone
Harewood Avenue, Marylebone
Nesham Street, Wapping
Warwick Avenue Station, Maida Vale
Godliman Street, St. Paul's
Curzon Street, Mayfair
East Road, Hoxton
Finsbury Library , Finsbury
Roscoe Street, St. Luke's
Grafton Street, Mayfair
Golden Lane, Barbican
Finsbury Circus, Liverpool Street
Paddington Street, Marylebone
Guilford Street , Bloomsbury
New Inn Yard, Shoreditch
Rodney Street, Angel
Lisson Grove, St. John's Wood
Great Dover Street, Borough
Cotton Garden Estate, Kennington
Murray Grove , Hoxton
William IV Street, Strand
Gower Place , Euston
Holborn Circus, Holborn
Hatton Garden, Holborn
Theobalds Road , Holborn
Euston Road, Euston
Calshot Street , King's Cross
Newgate Street , St. Paul's
Farringdon Lane, Clerkenwell
Old Street Station, St. Luke's
Vauxhall Cross, Vauxhall
Torrens Street, Angel
Longford Street, Regent's Park
Russell Square Station, Bloomsbury
Sadlers Sports Centre, Finsbury
Webber Street , Southwark
Chancery Lane, Holborn
Panton Street, West End
Breams Buildings, Holborn
Tanner Street, Bermondsey
Sancroft Street, Vauxhall
Devonshire Square, Liverpool Street
Bayley Street , Bloomsbury
Tavistock Place, Bloomsbury
Harrington Square, Camden Town
Walnut Tree Walk, Vauxhall
Borough Road, Elephant & Castle
Cloudesley Road, Angel
Bricklayers Arms, Borough
Aldersgate Street, Barbican
Falkirk Street, Hoxton
Gloucester Road (North), Kensington
Hampstead Road, Euston
Old Quebec Street, Marylebone
Albert Embankment, Vauxhall
Queen Street, Bank
Jewry Street, Aldgate
Vicarage Gate, Kensington
Crosswall, Tower
Westbourne Grove, Bayswater
Woodstock Street, Mayfair
Finsbury Leisure Centre, St. Luke's
Abbey Orchard Street, Westminster
Soho Square , Soho
Wellington Road, St. John's Wood
Park Lane , Hyde Park
Stonecutter Street, Holborn
Gloucester Road (Central), South Kensington
Park Road (Baker Street), Regent's Park
Braham Street, Aldgate
Little Argyll Street, West End
Lollard Street, Vauxhall
Rochester Row, Westminster
Bath Street, St. Luke's
The Guildhall, Guildhall
Baker Street, Marylebone
Norton Folgate, Liverpool Street
St. John Street, Finsbury
Eaton Square, Belgravia
Borough High Street, The Borough
Museum of London, Barbican
Wood Street, Guildhall
Emperor's Gate, South Kensington
Golden Square, Soho
Tower Gardens , Tower
Eversholt Street , Camden Town
Bethnal Green Road, Shoreditch
Derry Street, Kensington
Wapping High Street, Wapping
Clerkenwell Green, Clerkenwell
Queen Victoria Street, St. Paul's
Bourne Street, Belgravia
Green Street, Mayfair
Lambeth Road, Vauxhall
Finsbury Square , Moorgate
Chapel Place, Marylebone
West Cromwell Road, Earl's Court
Pont Street, Knightsbridge
Kennington Cross, Kennington
Ilchester Place, Kensington
Vauxhall Bridge , Pimlico
Portugal Street, Holborn
Tachbrook Street, Victoria
Kennington Road Post Office, Oval
Holy Trinity Brompton, Knightsbridge
Chepstow Villas, Notting Hill
Hampton Street, Walworth
Bayswater Road, Hyde Park
Waterloo Station 3, Waterloo
Lexham Gardens, Kensington
New Kent Road, Borough
Wright's Lane, Kensington
Trebovir Road, Earl's Court
Great Marlborough Street, Soho
Waterloo Place, St. James's
Guildhouse Street, Victoria
Southampton Place, Holborn
Sloane Avenue, Knightsbridge
Cleveland Gardens, Bayswater
Orsett Terrace, Bayswater
Seville Street, Knightsbridge
Eccleston Place, Victoria
Argyll Road, Kensington
Porchester Place, Paddington
Hardwick Street, Clerkenwell
Collingham Gardens, Earl's Court
Sumner Place, South Kensington
Waterloo Roundabout, Waterloo 
Strand, Strand
Appold Street, Liverpool Street
Gloucester Terrace, Bayswater
Ashley Place, Victoria
Warwick Square, Pimlico
North Audley Street, Mayfair
Belgrave Square, Belgravia
Bell Street , Marylebone
Portland Place, Marylebone
Alderney Street, Pimlico
South Wharf Road, Paddington
Queen's Gate (South), South Kensington
Nutford Place, Marylebone
Claremont Square, Angel
Rampayne Street, Pimlico
Hyde Park Corner, Hyde Park
Wardour Street, Soho
Bankside Mix, Bankside
Hop Exchange, The Borough
Milroy Walk, South Bank
Union Street, The Borough
Stamford Street, South Bank
Great Tower Street, Monument
LMU Commercial Road, Whitechapel
Dorset Square, Marylebone
Leman Street, Aldgate
West Smithfield Rotunda, Farringdon
Margery Street, Clerkenwell
New Road  2, Whitechapel
New Road 1 , Whitechapel
Grosvenor Crescent, Belgravia
Mallory Street, Marylebone
Denyer Street, Knightsbridge
Hinde Street, Marylebone
Cadogan Place, Knightsbridge
Campden Hill Road, Notting Hill
Wellington Arch, Hyde Park
Endsleigh Gardens, Euston
Moorfields, Moorgate
Old Brompton Road, South Kensington
Wormwood Street, Liverpool Street
St. Luke's Church, Chelsea
Bramham Gardens, Earl's Court
Chelsea Green, Chelsea
Horseferry Road, Westminster
Knightsbridge, Hyde Park
Rodney Road , Walworth
Whiteley's, Bayswater
Notting Hill Gate Station, Notting Hill
Charles II Street, West End
Great Percy Street, Clerkenwell
St. James's Square, St. James's
Whitehall Place, Strand
Poured Lines, Bankside
Queen's Gate (Central), South Kensington
Carey Street, Holborn
Pall Mall East, West End
Liverpool Road (N1 Centre), Angel
Kennington Road  , Vauxhall
Fashion Street, Whitechapel
Vaughan Way, Wapping
Frampton Street, Paddington
Warren Street Station, Euston
Colombo Street, Southwark
Beaumont Street, Marylebone
Gloucester Street, Pimlico
Earnshaw Street , Covent Garden
Grosvenor Road, Pimlico
Berry Street, Clerkenwell
St. John's Wood Church, Regent's Park
Triangle Car Park, Hyde Park
Harper Road, Borough
Royal Avenue 1, Chelsea
Brushfield Street, Liverpool Street
Jubilee Gardens, South Bank
Shoreditch Park, Hoxton
Chadwell Street, Angel
Clifton Road, Maida Vale
Houghton Street, Strand
Westminster University, Marylebone
Kensington Gore, Knightsbridge
Embankment (Horse Guards), Westminster
Broadwick Street, Soho
Princes Square, Bayswater
LSBU (Borough Road), Elephant & Castle
St. Mary Axe, Aldgate
Tysoe Street, Clerkenwell
Southwick Street, Paddington
Queen's Gate (North), Kensington
Regency Street, Westminster
Belgrave Road, Victoria
Empire Square, The Borough
Kennington Lane Rail Bridge, Vauxhall
London Zoo, Regents Park
Baylis Road, Waterloo
Belvedere Road, South Bank
Warwick Road, Olympia
Barbican Centre, Barbican
Lower Thames Street, Monument
Kensington Church Street, Kensington
Tooley Street, Bermondsey
North Wharf Road, Paddington
Royal Avenue 2, Chelsea
Smith Square, Westminster
Royal London Hospital, Whitechapel
Lambeth North Station, Waterloo
St. John's Wood Road, St. John's Wood
Bedford Way, Bloomsbury
Elizabeth Bridge, Victoria
South Audley Street, Mayfair
Winsland Street, Paddington
Claverton Street, Pimlico
Montpelier Street, Knightsbridge
Kensington Olympia Station, Olympia
St. George's Square, Pimlico
Swan Street, The Borough
Knaresborough Place, Earl's Court
Geraldine Street, Elephant & Castle
Curlew Street, Shad Thames
Vincent Square, Westminster
Serpentine Car Park, Hyde Park
Marylebone Lane, Marylebone
Albert Gate, Hyde Park
Cumberland Gate, Hyde Park
Kennington Lane Tesco, Vauxhall
Rathbone Street, Fitzrovia 
Black Lion Gate, Kensington Gardens
Long Lane , Bermondsey
Embankment (Savoy), Strand
Black Prince Road, Vauxhall
Foley Street, Fitzrovia
Grove End Road, St. John's Wood
Wells Street, Fitzrovia 
Tyers Gate, Bermondsey
The Tennis Courts, Regent's Park
Cardinal Place, Victoria
Dickens Square, Borough
Sackville Street, Mayfair
Baldwin Street, St. Luke's
Queen Mother Sports Centre, Victoria
Bermondsey Street, Bermondsey
Palissy Street, Shoreditch
Clifton Street, Shoreditch
Ontario Street, Elephant & Castle
St. Martin's Street, West End
Graham Street, Angel
New North Road 1, Hoxton
New North Road 2, Hoxton
Prince Albert Road, Regent's Park
Eastbourne Mews, Paddington
Bunhill Row, Moorgate
Nevern Place, Earl's Court
Palace Gardens Terrace, Notting Hill
Concert Hall Approach 1, South Bank
Tavistock Street, Covent Garden
Concert Hall Approach 2, South Bank
Pembridge Villas, Notting Hill
Wellington Street , Strand
